"id","id_persil","id_jenis_monitoring","id_file","id_file_pendukung","hasil","tanggal"
9,37764,4,NULL,NULL,"<p>Tanah desa Salam Persi 101 luas 3420m2 yang dikuasai ahli waris WIDIPAWIRO sebagai pengganti tanah miiknya yg digunakan untuk balai desa Salam</p>
","2020-08-06"
10,73464,4,77574,NULL,"<p>Pengawasan Ijin Pemanfaatan Tanah Desa&nbsp; terdapat kasus Penggunaan Lahan yang tidak sesuai dengan ijin Gubernur di mana PL nya berupa bangunan yang semestinya sesuai ijin Gubernur no..... adalah Perkebunan</p>
","2020-11-18"
12,38416,4,78242,78243,"<p>1. Tanah Desa berizin dengan Izin Gubernur nomor 6/IZ/2017 tanggal 24 Februari 2017&nbsp;tentang Pemberian Izin Kepada Pemerintah Desa Logandeng, Kecamatan Playen, Kabupaten Gunungkidul menyewakan Tanah Kas Desa Kepada Yayasan Keluarga Insan Mandiri Yogyakarta untuk Kegiatan Pendidikan yakni SMK Kesehatan Insan Mulia I Gunungkidul. Luas pemanfaatan&nbsp;3.236 m&sup2; pada persil 151/TL.IV yang berada di Padukuhan Siyono Wetan.</p>

<p>2. Pemanfaatan telah sesuai dengan izin yang diberikan.&nbsp;Bangunan SMK merupakan bekas SD yang sudah regrouping. Saat ini masih beroperasi namun minim peserta didik.&nbsp;</p>

<p>3. Telah ditindaklanjuti dengan perjanjian sewa menyewa&nbsp;Nomor Surat Perjanjian&nbsp;001/PEM/LGD/2017 tanggal surat perjanjian 6 Agustus 2017. Jangka Waktu Sewa 10 tahun dengan besarnya sewa Rp 2.500.000,00/tahun.&nbsp;</p>
","2020-09-25"
13,38436,4,78244,78245,"<p>1. Tanah Desa berizin dengan Izin Gubernur Nomor&nbsp;9/IZ/2020 tanggal 24 Februari 2020 tentang Pemberian Izin Kepada Pemerintah Desa Logandeng, Kecamatan Playen, Kabupaten Gunungkidul Menggunakan Tanah Kas Desa Logandeng&nbsp;untuk Pembuatan Taman Kuliner.</p>

<p>2. Luas pemanfaatan&nbsp;7.150 m&sup2; pada SHP No. 24 dari luas keseluruhan&nbsp;39.169 m&sup2; yang berada di Padukuhan Jalakan.&nbsp;</p>

<p>3.&nbsp;Lokasi pada objek izin pemanfaatan sudah mulai dibangun (bangunan joglo sudah berdiri) namun saat ini pembangunan berhenti berkaitan dengan anggaran desa.&nbsp;</p>
","2020-09-25"
14,37526,4,78246,78247,"<p>1. Tanah Desa berizin dengan Izin Gubernur Nomor 37/IZ/2020 tanggal&nbsp;12 Mei 2020 tentang&nbsp;Pemberian Izin Kepada Pemerintah Desa Patuk, Kecamatan Patuk, Kabupaten Gunungkidul Menyewakan Tanah Kas Desa Patuk kepada PT. Anugerah Heha Jaya untuk Pembangunan Lahan Parkir Obyek Wisata Heha Hill.&nbsp;</p>

<p>2. Luas pemanfaatan&nbsp;4.544 m&sup2; pada persil&nbsp;Persil 155/T.IV dari luas keseluruhan&nbsp;13.729 m&sup2; yang berada di Padukuhan Patuk.</p>

<p>3. Pemanfaatan telah sesuai dengan izin yang terbit dan lahan parkir telah beroperasi.&nbsp;</p>

<p>4. Telah ditindaklanjuti dengan Perjanjian Sewa Menyewa nomor&nbsp;143/181/PAT/IX/2020&nbsp; tanggal 30 September 2020. Jangka waktu sewa 20 tahun dengan biaya sewa Rp 10.807.000,00/tahun dengan kenaikan sewa setiap 4 tahun sebesar 12%.&nbsp;</p>
","2020-09-29"
15,37499,4,NULL,78248,"<p>1. Tanah Desa berizin dengan Izin Gubernur Nomor 68/IZ/2020 tanggal 14 September 2020 tentang Pemberian Izin kepada Pemerintah Kalurahan Patuk, Kapanewon Patuk, Kabupaten Gunungkidul Menyewakan Tanah Kas Kalurahan Patuk kepada DInas Kesehatan Kabupaten Gunungkidul untuk Pembangunan Unit Pelaksana Teknis (UPT) Puskesmas Patuk I.&nbsp;</p>

<p>2. Luas pemanfaatan&nbsp;1365&nbsp;m&sup2; di&nbsp;Persil 120/IV yang berada di Padukuhan Ngandong.&nbsp;</p>

<p>3. Saat dilakukan pengawasan, perjanjian sewa menyewa sedang dalam proses penyusunan. Pemanfaatan telah sesuai dengan izin yang diterbitkan.&nbsp;</p>
","2020-09-29"
16,16733,4,NULL,78249,"<p>1. Tanah Desa berizin dengan Izin Gubernur Nomor 19/IZ/2013 tanggal&nbsp;23 Mei 2013 tentang Pemberian Izin Kepada Pemerintah Desa Kebonrejo untuk Menyewakan Tanah Kas Desa Kepada Pemerintah Kabupaten Kulon progo untuk Pembangunan Lapangan Olahraga Sekolah Menengah Atas Negeri I (SMAN I) Temon.&nbsp;</p>

<p>2. Luas pemanfaatan&nbsp;3.026 m&sup2; dari total luas keseluruhan&nbsp;15.711 m&sup2; yang berada di Padukuhan Kibon.&nbsp;</p>

<p>3. Pemanfaatan telah sesuai dengan izin yang diterbitkan.&nbsp;</p>

<p>4. Telah ditindaklanjuti dengan perjanjian sewa menyewa dengan jangka waktu sewa 15 tahun. Besarnya biaya sewa&nbsp;Rp 6.636.000,00.&nbsp;</p>
","2020-09-30"
17,16724,4,NULL,78252,"<p>1. Tanah Desa berizin dengan Izin Gubernur Nomor&nbsp;14/IZ/2017 tanggal 26 September 2017 tentang Pemberian Izin Kepada Pemerintah Desa Kebonrejo, Kecamatan Temon, Kabupaten Kulon Progo melepaskan Tanah Desa Kebonrejo Kepada Pemerintah Kabupaten Kulon Progo untuk Rumah Warga yang Terkena Pembangunan Bandara dan Pembangunan Mushola/Masjid.&nbsp;</p>

<p>2. Luas pemanfaatan&nbsp;1.281 m&sup2; dari luas keseluruhan&nbsp;3.931 m&sup2; di&nbsp;&nbsp;SHP 6/Desa Kebonrejo yang berada di Dusun Weton.&nbsp;</p>

<p>3.&nbsp;Pelaksanaan izin Gubernur sudah sesuai dan Pemerintah Desa sudah mendapat tanah pengganti</p>
","2020-09-30"
18,16726,4,NULL,78253,"<p>1. Tanah Desa telah berizin dengan Izin Gubernur Nomor&nbsp;14/IZ/2017 tanggal 26 September 2017 Tentang Pemberian Izin Kepada Pemerintah Desa Kebonrejo, Kecamatan Temon, Kabupaten Kulon Progo untuk Rumah Warga yang Terkena Pembangunan Bandara dan Pembangunan Mushola/Masjid.&nbsp;</p>

<p>2. Luas pemanfaatan&nbsp;3.400 m&sup2; dari luas keseluruhan&nbsp;68.724 m&sup2; di SHP 7/Desa Kebonrejo yang berada di Dusun Weton.</p>

<p>3.&nbsp;Pelaksanaan izin Gubernur sudah sesuai. Pemerintah Desa sudah mendapat tanah pengganti.&nbsp;</p>
","2020-09-30"
19,16724,4,NULL,78254,"<p>1. Tanah Desa berizin dengan Izin Gubernur Nomor&nbsp;21/IZ/2017 tanggal 28 September 2018 tentang Pemberian Izin Kepada Pemerintah Desa Kebonrejo, Kecamatan Temon, Kabupaten Kulon Progo Menggunakan Tanah Desa Kebonrejo untuk Jalan, Balai Warga, Pos Ronda, Ruang Terbuka Hijau (RTH), dan Makam.&nbsp;</p>

<p>2. Luas pemanfaatan&nbsp;2.650 m&sup2; dari luas keseluruhan&nbsp;3.931 m&sup2; di&nbsp;SHP 6/Desa Kebonrejo yang berada di Dusun Weton.&nbsp;</p>

<p>3.&nbsp;Pemanfaatan telah sesuai dengan izin yang diterbitkan.&nbsp;</p>
","2020-12-30"
